Codigo;Autor;Editorial;Titulo;Año;
L-1402;;ILDIS;Taller de investigaciones socio-económicas. El rol de la empresa privada en el desarrollo;1987;
L-1403;;ILDIS;Taller de investigaciones socio-económicas. Costo social de la crisis y del ajuste;1988;
L-1404;;ILDIS;Taller de investigaciones socio-económicas. Política de ingresos, política de gasto y administración de la inversión pública;1990;
L-1405;;ILDIS;Taller de investigaciones socio-económicas. La política de gasto;1993;
L-1406;;ILDIS;Debate agrario. Marco institucional;1986;
L-1407;;ILDIS;Debate agrario. Política agraria;1987;
L-1408;;ILDIS;Debate agrario. El Fondo de Desarrollo Campesino;1989;
L-1409;;ILDIS;Debate agrario. Agropecuaria en Cochabamba;1991;
L-140;GALINDO QUIROGA, Eudoro;;Ciudad de Cochabamba su formación y desarrollo;1974;
L-14;BRUCK, Nicholas;BID, BOLSA DE COMERCIO DE BUENOS AIRES;Mercados de capitales bajo inflación;1982;
L-1500;;ILDISFADES;La administración privada de los Fondos de Pensiones, perspectivas desde el sector laboral;1996;
L-1501;;ILDIS;Debate Laboral. Mujer y mercado de trabajo;1993;
L-1502;;ILDIS;Debate Laboral las normas internacionales de trabajo;1993;
L-1503;;ILDIS;Debate Laboral. Bolivia. El rol de los empresarios y trabajadores en la modernización industrial;1992;
L-1504;;SERVICIO CULTURAL E INFORMATIVO DE LOS ESTADOS UNIDOS DE AMERICA;<La> constitución de los Estados Unidos de América 200 años de democracia;1987;
L-1505;PRUDENCIO BOHRT, JulioARRIETA ABDALLA, Mario;ILDIS;Alimentos donados en Bolivia propuestas y alternativas;1989;
L-1506;FERNANDEZ M., Miguel;ILDIS;Estudio diagnóstico debate. La relación empleo-salarios (crítica a la política de empleo fundada en la teoría neoclásica);1988;
L-1507;TERPSTRA, Tony;CIDEM;Memoria. I Seminario donaciones e importaciones de trigo y seguridad alimentaria;1994;
L-1508;;ILDIS;Acerca de la capacitación sindical;1992;
L-1509;;ILDISSTBCB;Nuevo sindicalismo algunas propuestas;1991;
L-150;TABOADA TERAN DE LA BARCA, José;;Economía boliviana;1966;
L-1510;RODRIGUEZ OSTRIA, Gustavo;ILDIS;El socavón y el sindicato. Ensayos históricos sobre los trabajadores mineros, siglos XIX -XX;1991;
L-1511;WISNIWSKI, Sylvia;;Mercados financieros rurales en Bolivia. Formas de ahorro y demanda potencial para ahorro institucionalizado en las áreas rurales de Bolivia;1995;
L-1512;;ILDISIAD;Bancos departamentales en Bolivia concepto, mercado y perspectivas;1994;
L-1514;CISNEROS, TatianaENSIGINA, Marco A.SALDIVIA, BeatrizSIMON, Farith;ILDISUNICEF;Familia y políticas sociales;1995;
L-1516;ZABALAGA ESTRADA, Carmen;COORDINADORA CAMPESINA DE MUJERES DEL TROPICO COCAMTROP;<Las> mujeres del Chapare: su historia, su lucha por la dignidad y sus liderazgos;1994;
L-1517;RODRIGUEZ OSTRIA, Gustavo;ILDISIDAES;Poder central y proyecto regional, Cochabamba y Santa Cruz en los siglos XIX y XX;1993;
L-1518;FERNANDEZ SAAVEDRA, Gustavo;MULLER Y ASOCIADOSILDIS;La transformación del Estado. Democracia y sociedad;1995;
L-1519;;CEPROLAI;Boletín taller: Partidos, sindicatos y grupos de presión en Bolivia;1987;
L-151;ARZE QUIROGA EduardoDERMIZAKY PEREDO Pablo,;I.D.E.I.U.M.S.S;Doctrina y política internacionales de Bolivia;1984;
L-1520;PAREDES MUÑOZ, HernánLOZA TELLERIA, GabrielCHAVEZ CORRALES, Juan Carlos;ILDIS;Debate Económico. Desafíos de la economía boliviana;1996;
L-1521;GOMEZ-GARCIA, Vincent;ILDISUDAPEX;Corredores interoceánicos e integración en la economía mundial. Bolivia ante los desafíos de la globalización económica, la competitividad internacional y el desarrollo humano sostenible;1996;
L-1522;;ILDISILPESISS;Necesidades básicas y desarrollo;1990;
L-1523;PIMENTEL, José;ILDIS;Capacitación sindical. Principios históricos del movimiento sindical;1994;
L-1524;;ILDIS;Políticas de capacitación sindical;1993;
L-1525;DOMINGUEZ, Elida W.;ILDIS;Capacitación sindical. Instrumentos para la planificación y la gestión;1992;
L-1526;;ILDIS;Sindicalismo latinoamericano. El desafío del cambio;1991;
L-1527;;ILDISH. CAMARA DE DIPUTADOS;Descentralización y privatización (futuro de las Corporaciones regionales de Desarrollo y privatización de sus empresas);1991;
L-1528;;SUBSECRETARIA DE ASUNTOS DE GENERO;<Los> laberintos de la violencia. Lo que piensa la población boliviana sobre la violencia doméstica;1995;
L-1530;;ILDISPLATAFORMA DE CONTRAPARTES DE NOVIB BOLIVIA;IPDS y la descentralización, Las;1993;
L-1531;ARDAYA S., GloriaVERDESOTO C., Luis;ILDIS;Racionalidades democráticas en construcción;1994;
L-1532;BARRIOS, RaúlGOMEZ-GARCIA, VincentKAFKA, JorgeSEOANE, AlfredoSUCRE, José;ILDISUDAPEX;Política exterior boliviana tendencias y desafios;1995;
L-1533;;ILDISCOTESUCOOPERACION HOLANDESA;Relación entre Estado y ONG_s, La;1992;
L-1534;;ILDISUCB;Aspectos sociales de diez años de ajuste;1996;
L-1535;;ILDIS;La diferenciación de los regimenes de crecimiento. Un análisis de largo plazo;1996;
L-1536;;ILDIS;Políticas para enfrentar la pobreza en Bolivia;1990;
L-1537;;ILDISEMBAJADA DE ESPAÑA;Alfabetización en Bolivia. La situación actual y perspectivas;1994;
L-1538;;ILDIS;Taller de política social. La insatisfacción laboral como problema económico y social;1990;
L-1539;;ILDIS;Taller de política social. Las políticas sociales sectoriales concepción e instrumentos;1990;
L-153;AZNAR, Pablo;;Aportes metodólogicos para investigaciones sociolaborales;1976;
L-1540;;ILDIS;Taller de política social. Nueva política económica y sector informal urbano;1992;
L-1541;CAMPERO PAZ, Fernando;ILDIS;<El> mercado de capitales en Bolivia;1994;
L-1542;;ILDIS;Foro presidencial 1993;1994;
L-1543;MACHICADO S., FlavioARAUJO M., Rudy;ILDIS;Sistema financiero y la reactivación económica en Bolivia, El;1993;
L-1544;;CORDECHILDIS;Perspectivas para el desarrollo de Chuquisaca;1995;
L-1545;;ILDIS;Foro político. Actores sociales y descentralización;1993;
L-1546;CHAVEZ ALVAREZ, GonzaloTORANZO ROCA, Carlos;ILDIS;Claves y problemas de la economía boliviana;1993;
L-1547;;ILDIS;Democratización del Estado y Descentralización;1990;
L-1548;MANSILLA, H.C.F.;FUNDACION MILENIO;Temas de la modernización. La empresa privada boliviana y el proceso de democratización;1994;
L-154;ROBINSON, Joan;;Segunda crisis del pensamiento económico;1973;
L-1550;;ILDIS, PAT;Balance de las elecciones municipales;1992;
L-1552;MANSILLA, H.C.F.;CEBEM;Percepción social de fenómenos ecológicos en América Latina;1991;
L-1554;;PROADEILDIS;Reflexiones sobre la descentralización;1994;
L-1555;;ILDISCEBEM;Foro político electoral 1993, los programas de los partidos;1993;
L-1556;;ILDIS;Diversidad étnica y cultural;1992;
L-1557;CONTRERAS C., Manuel E.;ILDIS;Biblioteca Minera Boliviana. Tecnología moderna en los Andes, minería e ingeniería en Bolivia en el siglo XX;1994;
L-1558;CAJIAS DE LA VEGA, Fernando;ILDIS;Competencias del ejecutivo municipal, del Concejo Municipal y de los Comités de Vigilancia;1997;
L-1559;;ILDISCORTE NACIONAL ELECTORAL;Reflexiones sobre una Ley de Partidos Políticos;1993;
L-155;TOBIN, James;;Teoría general de Keynes, cincuenta años después;1988;
L-1560;;ILDISCACCAO;La visión política para el desarrollo agropecuario nacional;1993;
L-1561;MARSHALL, AdrianaBLANSES, José;CEBEM;Cuadernos del CEBEM. Crisis fiscal, estado y mercado de trabajo (reflexiones sobre América Latina y Bolivia);1991;
L-1562;SCHUMANN, Dagmar;ILDIS;De ovejas y mercados. Lanas y textiles de Tajzara en Bolivia;1992;
L-1563;VERDESOTO, LuisARDAYA, Gloria;ILDIS;Debate Político. Inventando la representación;1997;
L-1564;URIOSTE FERNANDEZ DE CORDOVA, Miguel;CEDLA;Talleres CEDLA. Resistencia campesina efectos de la política económica neoliberal del Decreto Supremo 21060;1989;
L-1565;;ILDISMISION DE COOPERACION TECNICA HOLANDESA;Autosuficiencia o inseguridad alimentaria. El rol de los alimentos donados en Bolivia;1993;
L-1566;PRUDENCIO BOHRT, JulioFRANQUEVILLE, AndréRIVERA, JulietaSAN MARTIN, Horacio;UNITAS;Aspectos sobre la inseguridad alimentaria en Bolivia;1993;
L-1567;BLANCO CAZAS, CarlosSANDOVAL, Godofredo;ILDIS;Alcaldía de La Paz: Entre populistas, modernistas y culturalistas: 1985 - 1993;1993;
L-1568;;ILDIS;Ciudad, municipio, democracia;1988;
L-1569;MANSILLA, H.C. FelipeTORANZO ROCA, Carlos;ILDIS;Economía informal y narcotráfico;1991;
L-156;WILLIAMS, Robert G.;;Export agriculture and the crisis in Central America;1987;
L-1570;MANSILLA, H.C.F.;SEAMOS;"Investigación para el debate; Las élites bolivianas frente a la legalización de drogas";1995;
L-1571;ROMERO BALLIVIAN, Salvador;CEBEMILDIS;Así votan los bolivianos. Geografía electoral de Bolivia;1993;
L-1572;MANSILLA, H.C.F.;CEBEM;Autonomía e imitación en el desarrollo fragmentos de una teoría crítica de la modernización;1994;
L-1573;MAYORGA, Fernando;ILDISUMSS;Max Fernandez. La política del silencio;1991;
L-1574;MAYORGA, Fernando;ILDIS, CERES;Discurso y política en Bolivia;1993;
L-1575;;ILDIS;Lo pluri-multi o el reino de la diversidad;1993;
L-1576;;ILDIS, CESU, SECRETARIA DE PARTICIPACION POPULAR;Democracia y participación popular;1996;
L-1577;AGUIRRE B., CarlosBERNAL Y., GregorioCAMPO M., GuillermoCASTAÑOS I., ArturoDURAN B., Jesús;ILDIS;Apuesta al futuro: reflexiones en torno a la tecnología;1990;
L-1578;;ILDISFLACSO;Estado Y Sociedad. Industria electoral y comunicación política;1992;
L-1579;VELASCO ROMERO, Ramiro;ILDISUDAPEX;Nuevos escenarios internacionales los desafíos para la politica exterior latinoamericana;1994;
L-157;VAZQUEZ, Adelina;FEDERACION DE MUJERES CUBANAS;Mujer la revolución dentro de la revolución;1982;
L-1580;RICO FRONTAURA, VíctorEMILIO FINOT, Roberto;ILDISUDAPEX;Bolivia y los caminos de la integración latinoamericana;1994;
L-1581;;ILDIS;Integración y democracia, descentralización y reforma constitucional;1988;
L-1582;;ILDIS;Formación profesional y técnica en Bolivia (problemas y perspectivas);1991;
L-1583;;ILDIS;Nuestro bosque de mañana síntesis documental del proceso forestal beniano 1979-1988;1989;
L-1584;ORMACHEA S., EnriqueFERNANDEZ J., Javier;CEDLA;Amazonía boliviana y campesinado;1989;
L-1585;;ILDIS;Desafíos para la izquierda;1991;
L-1586;MANSILLA, H.C.F.;CEBEM;Cuadernos del CEBEM. Posibilidades y dilemas de los procesos de democratización en América Latina;1991;
L-1587;;COTESU, MACA, ILDIS;Impacto de la NPE en el sector agropecuario, El;1990;
L-1588;;ILDIS;Aportes en torno a la reforma del sistema de pensiones;1996;
L-1589;HURTADO GUMUCIO, Jorge;;Cocaína en busca del paraiso perdido;1987;
L-158;;ILDIS, CERES, FACES-UMSS;Formación superior en Cochabamba;1995;
L-1590;NOHLEN, Dieter;FUNDACION FRIEDRICH EBERT;Elecciones y sistemas electorales;1995;
L-1591;SARAVIA C., JaoquínSANDOVAL Z., Godofredo;ILDISCEP;Jach_a Uru. ¿La esperanza de un pueblo?. Carlos Palenque, RTP y los sectores populares urbanos en La Paz;1991;
L-1592;SANDOVAL Z., GodofredoSOSTRES, M. Fernanda;ILDIS;Ciudad prometida. Pobladores y organizaciones sociales en El Alto;1989;
L-1593;;ILDIS;Taller de investigaciones socio-económicas. Capital humano;1993;
L-1594;;ILDIS;Taller de investigaciones socio-económicas. Reforma de la seguridad social y ajuste estructural;1994;
L-1595;;ILDIS;Dificil camino hacia la democracia, El;1990;
L-1596;;ILDIS;Taller de investigaciones socio-económicas. Reflexiones sobre la estrategia de desarrollo;1993;
L-1597;JAHNSEN, Carlos;ILDIS;Bolivia dependencia monetaria, el obstáculo para su desarrollo;1994;
L-1598;;ILDISCERESFACES-UMSS;Debate regional. Gobierno, participación y sociedad. Cochabamba;1997;
L-1599;WEISS, John;;Economic policy in developing countries. The reform agenda. Política económica en países desarrollados. La agenda en reforma;1995;
L-159;RAMOS SANCHEZ, Pablo;;Política de ingreso a la universidad;1988;
L-15;SALAZAR-CARRILO, Jorge;ECIEL;Estructura de los salarios industriales en América Latina;1979;
L-1600;;UNIVERSITY OF PADUA;Proceeding of the 3rd international symposium on logistics. Procedimiento del 3er simposio internacional sobre logística;1997;
L-1601;;FUNDACION SIMON I. PATIÑO;Formación universitaria y desarrollo. El Centro universitario Simón I. Patiño de Ginebra;1997;
L-1602;MACLACHLAN, Colin M.;IICLA;Manual de terrorismo internacional una guía completa de los principales grupos en todo el mundo incluyendo América Latina, el medio Oriente, Asia y Europa;1997;
L-1603;;BCB;Asesoría de política económica. Boletín mensual Nº 30;1997;
L-1604;;BCB;Asesoría de política económica. Boletín mensual;1997;
L-1605;;BCB;Asesoría de política económica. Boletín estadístico;1997;
L-1606;PORTUS G., Lincoyán;;Matemáticas financieras;1997;
L-1607;MESSUTI, Domingo JorgeALVAREZ, Víctor A.GRAFFI, Hugo Romano;;Selección de inversiones introducción a la teoría de la cartera;1993;
L-1608;RIBAS, EnricMONTLLOR, JoanTARRAZON, Ma. Antonia;;Empresa en el sistema financiero español, La;1996;
L-1609;PASCALE, Ricardo;;Decisiones financieras;1995;
L-160;;ILDIS;Educación;1987;
L-1610;BREALEY, Richard A.MYERS, Stewart C.MARCUS, Alan J.;;Principios de dirección financiera;1996;
L-1611;TAYLOR, Lance;;Income distribution, inflation, and growth. Distribucion del ingreso, inflación y crecimiento;1991;
L-1612;HUICI, NéstorJACOBS, Eduardo;CISEA;Agroindustrias argentinas de alimentosdiagnóstico y perspectivas;1989;
L-1613;FERRIS, Paul;;Los que mueven el dinero bancos y banqueros del mundo;1984;
L-1614;TINBERGEN, Jan;FONDO DE CULTURA ECONOMICA;Reestructuración del orden internacional;1977;
L-1615;VEBLEN, Thorstein;;Teoría de la empresa de negocios;1965;
L-1616;GINESTAR, Angel;CITAF-OEA;Lecturas sobre administración financiera del sector público;1996;
L-1617;GIENSTAR, Angel;CITAF-OEA;Libros. Costos educacionales para la administración financiera universitaria (pautas para presupuestar);1994;
L-1618;GOROSTIAGA, Angel R.;CITAF-OEA;Transparencia en la gestión de gobierno (el rol de las cuentas públicas);1996;
L-1619;LOPEZ DE LA FUENTE, OscarVULOVIC, Pedro;;Proyectos de inversión indicadores para la evaluación y capacitación;1997;
L-161;ALBO, Xavier;ACLO-UNITAS;Idiomas, escuelas y radios en Bolivia;1981;
L-1620;GINESTAR, Angel;CICAP-OEA;Costos educacionales para la gerencia universitaria;1991;
L-1621;;IDEACICAP-OEA;Administración financiera integrada (AFI). Comportamiento humano y optimización en empresas públicas;1984;
L-1622;TAVELLA, José Luis;;El seguro de crédito. Distintas aplicaciones;1997;
L-1636;;SPSS Inc.;SPSS 6.1 Syntax reference guide;1994;
L-1637;;PRESIDENCIA DE LA REPUBLICA DE COLOMBIA;<El> pacífico: una nueva dimensión para Colombia. Tomo II. Estudio preliminar del puente Terrestre Interoceánico P.T.I: República de Colombia ;1989;
L-1638;BLANK, LelandTARQUIN, Anthony J.;;Ingenieria económica;1997;
L-1639;;UNESCO;Actores de las políticas públicas. Burócratas, políticos e intelectuales;1990;
L-163;BONIFAZ PONDE, Miguel;;Universidad en Bolivia (estudio crítico);1975;
L-1640;;COTESU;Anuario 1994. Sostenibilidad del desarrollo y cooperación internacional 25 años de COTESU en Bolivia;1994;
L-1641;FIGUEROA, Adolfo;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;Economía campesina en la sierra del Perú;1983;
L-1642;;INE;Directorio industrial La Paz, Cochabamba, Santa Cruz;1991;
L-1643;DAY, Laurence M.;PROYECTO DE EXPANSION DE SERVICIOS Y APOYO TECNICO EN PLANIFICACION FAMILIAR;Pago del usuario para servicios para planificación familiar sostenibles;1993;
L-1644;BASTIAS C., Alberto;CENTRO DE ESTUDIOS SOCIALES;Materiales de discusión. El empleo precario, revisión bibliográfica y posibles temas de investigación;1987;
L-1645;BALDERRAMA DE ROJAS, Orietta;BOLIVIA: MINISTERIO DE EXPORTACIONES Y COMPETITIVIDAD ECONOMICA;Estadísticas de exportación 1ã semestre de 1992;1992;
L-1646;SALAZAR A., Rose Mary;UMSS-CEP;Primer taller de formación sobre métodos estadísticos aplicados a las ciencias humanas. Introducción al uso del sistema operativo MS - DOS;1901;
L-1647;;;Extractos escogidos de los cuadernos etnológicos de Carlos Marx;1988;
L-1648;CHIVISQUI, Eduardo;UMSS-CEP;Primer taller de formación sobre métodos estadísticos aplicados a las ciencias sociales. Elaboración y tratamiento de datos de investigación en Ciencias Sociales;1990;
L-1649;;CIDRE;Monografía de la provincia Mizque;1901;
L-164;BRASLAVSKY, Cecilia;;Discriminación educativa en Argentina;1985;
L-1650;RASNAKE, Roger;;Los Kuraqkuna de Yura. autoridad y poder en un pueblo andino;1989;
L-1651;;UNIVERSIDAD TECNICA DE ORURO;Primer seminario sobre sistemas de riego en el altiplano central represa de Tacagua;1986;
L-1652;;UNIVERSIDAD TECNICA DE ORURO;Primer seminario sobre sistemas de riego en el altiplano Central represa de Tacagua (segunda parte);1986;
